_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,lon,lat,area_km2,match,vs30_point,vs30_mean,vs30_min,vs30_max,vs30_used,vs30_source,vs30_flag
302,ÇATALCA,GÜMÜŞPINAR,191793,0,277,120,396,1,0,28.304621,41.328638,24.271,name+district,443.0,380.0,220.53463745117188,583.5338745117188,380.0,polygon mean,ok
303,ÇATALCA,HALLAÇLI,191795,0,434,392,826,0,0,28.106257,41.336989,34.397,name+district,382.0,309.9,195.0238494873047,384.0771179199219,309.9,polygon mean,ok
304,ÇATALCA,HİSARBEYLİ,191827,0,6,169,175,0,0,28.476262,41.369205,10.352,name+district,400.1,374.9,264.76019287109375,474.3648681640625,374.9,polygon mean,ok
305,ÇATALCA,İHSANİYE,191797,226,354,172,742,10,0,28.340089,41.271846,33.482,name+district,447.1,390.6,235.7436981201172,505.9689025878906,390.6,polygon mean,ok
306,ÇATALCA,İNCEĞİZ,191799,0,416,245,661,0,0,28.401543,41.195344,24.917,name+district,322.4,407.7,234.49855041503906,546.6051635742188,407.7,polygon mean,ok
307,ÇATALCA,İZZETTİN,40900,0,243,703,944,2,0,28.504837,41.169775,23.019,name+district,315.2,342.4,203.57516479492188,530.0243530273438,342.4,polygon mean,ok
308,ÇATALCA,KABAKÇA,191801,153,677,461,1291,0,0,28.376053,41.240791,21.42,name+district,399.5,390.1,282.4136962890625,505.9689025878906,390.1,polygon mean,ok
309,ÇATALCA,KALEİÇİ,40898,71,880,1051,1920,82,0,28.445324,41.161865,24.073,name+district,636.4,465.3,244.53469848632812,782.1734008789062,465.3,polygon mean,ok
310,ÇATALCA,KALFA,191803,87,142,173,402,0,0,28.432957,41.287969,26.15,name+district,584.0,460.0,297.2017822265625,673.6836547851562,460.0,polygon mean,ok
311,ÇATALCA,KARACAKÖY MERKEZ,40916,0,25,1009,1032,2,0,28.345114,41.417085,67.644,name+district,422.6,408.7,235.04531860351562,613.0701904296875,408.7,polygon mean,ok
312,ÇATALCA,KARAMANDERE,191829,12,11,326,348,1,0,28.307384,41.369316,29.844,name+district,508.1,463.5,238.6048126220703,653.8538818359375,463.5,polygon mean,ok
